Ranking_Difference,Attempts_on_Target,Corner_Kicks,Crosses,Ball_Possession_Percent,Completed_Passes,Completed_Line_Breaks,Defensive_Pressures,Forced_Turnovers,Second_Balls,Saves,Save_Percentage,Distance_Covered_km,Zone4_Low_Speed_Sprinting
-11.0,7.0,7.0,26.0,40.1,275.0,87.0,299.0,50.0,64.0,2.0,50.0,114.6,7.1
-8.0,5.0,5.0,25.0,48.7,528.0,99.0,248.0,43.0,59.0,2.0,66.66666666666666,113.8,5.5
8.0,3.0,5.0,18.0,42.6,408.0,90.0,264.0,42.0,55.0,2.0,40.0,110.0,5.4
-26.0,1.0,5.0,20.0,44.7,401.0,82.0,213.0,38.0,66.0,2.0,40.0,111.6,5.3
26.0,5.0,1.0,14.0,46.7,387.0,71.0,233.0,35.0,61.0,1.0,100.0,114.7,5.5
-35.0,4.0,4.0,7.0,30.3,279.0,69.0,321.0,40.0,68.0,3.0,100.0,111.8,5.4
35.0,3.0,6.0,39.0,60.9,657.0,114.0,199.0,28.0,63.0,3.0,75.0,111.0,5.4
-49.0,2.0,4.0,15.0,37.9,371.0,78.0,299.0,43.0,57.0,1.0,33.33333333333333,106.2,5.5
49.0,3.0,6.0,18.0,55.2,608.0,116.0,201.0,44.0,65.0,2.0,100.0,106.4,5.3
-14.0,3.0,3.0,14.0,39.2,325.0,61.0,299.0,49.0,66.0,2.0,66.66666666666666,109.8,6.1
14.0,3.0,2.0,16.0,51.2,537.0,114.0,231.0,51.0,85.0,1.0,33.33333333333333,114.5,6.3
20.0,3.0,2.0,14.0,44.7,408.0,79.0,221.0,42.0,62.0,4.0,80.0,110.2,5.3
-20.0,5.0,8.0,16.0,44.6,494.0,72.0,201.0,37.0,74.0,2.0,66.66666666666666,111.1,5.1
-37.0,4.0,4.0,13.0,27.5,208.0,56.0,346.0,34.0,40.0,4.0,57.14285714285714,111.1,5.1
37.0,7.0,6.0,27.0,64.6,619.0,115.0,173.0,34.0,61.0,3.0,75.0,106.8,5.3
-5.0,2.0,2.0,11.0,42.5,431.0,88.0,219.0,50.0,75.0,5.0,71.42857142857143,115.0,5.8
5.0,7.0,9.0,20.0,48.0,492.0,91.0,267.0,47.0,61.0,2.0,66.66666666666666,127.6,7.7
-14.0,2.0,1.0,7.0,42.2,365.0,49.0,284.0,51.0,64.0,5.0,100.0,113.1,5.5
14.0,5.0,3.0,13.0,46.2,503.0,86.0,210.0,43.0,93.0,2.0,100.0,116.4,5.6
-28.0,5.0,4.0,9.0,41.0,367.0,75.0,297.0,38.0,64.0,5.0,55.55555555555556,113.5,6.0
28.0,9.0,5.0,16.0,51.2,492.0,98.0,234.0,43.0,68.0,4.0,80.0,109.1,5.6
42.0,11.0,12.0,29.0,58.6,581.0,107.0,162.0,38.0,71.0,1.0,100.0,111.9,6.1
-42.0,1.0,3.0,5.0,30.7,379.0,52.0,259.0,43.0,53.0,6.0,54.54545454545454,104.7,5.4
-9.0,3.0,8.0,16.0,53.7,525.0,97.0,169.0,52.0,76.0,2.0,66.66666666666666,117.2,5.9
9.0,3.0,2.0,11.0,36.4,280.0,73.0,278.0,43.0,78.0,2.0,66.66666666666666,118.8,6.5
-76.0,2.0,5.0,13.0,36.6,309.0,82.0,321.0,32.0,50.0,5.0,50.0,113.1,6.9
76.0,10.0,8.0,13.0,40.5,608.0,118.0,249.0,44.0,82.0,1.0,50.0,119.8,6.9
-6.0,2.0,4.0,21.0,48.0,476.0,113.0,206.0,53.0,83.0,3.0,100.0,115.5,6.2
6.0,3.0,2.0,12.0,41.9,444.0,76.0,304.0,42.0,67.0,2.0,100.0,113.9,7.3
-14.0,1.0,1.0,18.0,33.4,381.0,68.0,390.0,53.0,67.0,0.0,0.0,113.8,6.5
14.0,1.0,6.0,15.0,57.1,508.0,134.0,215.0,49.0,65.0,1.0,100.0,111.2,5.1
-30.0,2.0,3.0,10.0,33.1,231.0,84.0,283.0,55.0,57.0,4.0,66.66666666666666,111.3,6.2
30.0,6.0,7.0,29.0,57.7,500.0,114.0,228.0,44.0,72.0,2.0,100.0,115.2,7.6
62.0,4.0,3.0,15.0,50.8,487.0,84.0,189.0,32.0,52.0,0.0,0.0,110.5,5.0
-62.0,1.0,2.0,11.0,43.1,411.0,50.0,271.0,40.0,47.0,2.0,50.0,106.4,5.0
-4.0,5.0,0.0,4.0,60.7,599.0,96.0,218.0,39.0,47.0,0.0,0.0,105.2,4.3
4.0,3.0,3.0,13.0,33.9,434.0,70.0,305.0,24.0,56.0,2.0,40.0,113.3,4.6
-62.0,1.0,2.0,9.0,27.7,239.0,66.0,471.0,37.0,44.0,1.0,25.0,110.6,4.9
62.0,4.0,6.0,10.0,67.6,762.0,130.0,184.0,42.0,48.0,0.0,0.0,105.9,4.7
-8.0,7.0,5.0,16.0,51.9,467.0,114.0,218.0,35.0,60.0,2.0,100.0,103.0,5.0
8.0,2.0,2.0,14.0,41.1,561.0,99.0,303.0,37.0,38.0,7.0,100.0,104.0,4.8
-4.0,5.0,2.0,25.0,53.0,497.0,106.0,191.0,54.0,93.0,0.0,0.0,115.1,5.5
4.0,1.0,4.0,15.0,37.0,462.0,80.0,342.0,54.0,74.0,2.0,40.0,115.8,5.6
-30.0,1.0,1.0,5.0,55.8,486.0,97.0,221.0,42.0,80.0,6.0,85.71428571428571,108.2,6.5
30.0,7.0,4.0,14.0,35.6,314.0,80.0,344.0,49.0,82.0,1.0,100.0,117.0,7.9
